ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000905.SH,20230605,6097.1059,6102.1295,6107.1211,6075.5921,6105.2181,-8.1122,-0.1329,115747953.0,131118706.648
000905.SH,20230602,6105.2181,6061.911,6115.0679,6061.911,6051.4603,53.7578,0.8883,122306738.0,142073539.923
000905.SH,20230601,6051.4603,6028.8032,6094.2403,6008.2705,6047.8021,3.6582,0.0605,126250315.0,154907281.921
000905.SH,20230531,6047.8021,6044.02,6063.1925,6009.2476,6061.3089,-13.5068,-0.2228,117476106.0,144653727.478
000905.SH,20230530,6061.3089,6008.4621,6061.3089,5960.3372,6025.1552,36.1537,0.6,127312017.0,151849134.86
000905.SH,20230529,6025.1552,6046.5431,6058.9211,6012.4012,6034.9834,-9.8282,-0.1629,125139417.0,146808330.638
000905.SH,20230526,6034.9834,5983.1367,6045.1292,5953.8807,5988.1885,46.7949,0.7815,106381588.0,123263014.838
000905.SH,20230525,5988.1885,6000.2187,6028.6386,5926.2038,6005.7913,-17.6028,-0.2931,109922832.0,126769237.205
000905.SH,20230524,6005.7913,6032.689,6058.3946,5988.0278,6052.4297,-46.6384,-0.7706,107223414.0,116914166.403
000905.SH,20230523,6052.4297,6114.2135,6117.3597,6052.4297,6115.3151,-62.8854,-1.0283,111104244.0,120628486.662
000905.SH,20230522,6115.3151,6111.8445,6136.8627,6086.233,6117.0833,-1.7682,-0.0289,112715682.0,126363418.364
