month,year,month_num,industry,monthly_ret,monthly_vol,avg_daily_ret,med_pe,med_pb,total_mv,avg_turnover,avg_stock_count
2025-02-01,2025,2,石油石化,0.0166163450399206,0.1353569998058696,0.000950296352210821,43.1778,1.8416,242480517.80040002,2.298685132850242,24.555555555555557
2025-03-01,2025,3,石油石化,-0.007009361460412977,0.1631985695107888,-0.00028428951535377443,45.4776,2.0167,249363972.98250002,3.5617465241545894,24.666666666666668
2025-04-01,2025,4,石油石化,-0.02789158088421606,0.3865395289672401,-0.001048852111648048,34.22325,1.68275,242581829.2688,3.066322531746032,24.047619047619047
2025-05-01,2025,5,石油石化,0.01155172366054158,0.11334592081761813,0.0006288381605499085,41.5315,1.863,249846563.7326,3.0673732639206714,24.68421052631579
2025-06-01,2025,6,石油石化,0.08543914357361593,0.30093008610250865,0.004278150880299346,45.1547,2.2088,254219957.7318,6.862720658422459,23.55
2025-07-01,2025,7,石油石化,-0.022097716276840873,0.1558340132446384,-0.0009247553971293095,45.1547,2.3031,264224273.6832,4.48853713768116,24.869565217391305
2025-08-01,2025,8,石油石化,-0.010435650257325735,0.16732422798344784,-0.000446037372548707,45.1547,2.1603,257540020.69339997,3.94912138888889,24.952380952380953
2025-09-01,2025,9,石油石化,-0.03009123623041099,0.17491851690993057,-0.0013297310649481096,45.1547,2.1648,239415436.72950003,3.6036420833333342,24.772727272727273
2025-10-01,2025,10,石油石化,0.022219105423485486,0.23745120603961348,0.0013983065275532595,45.1547,2.1899,262515109.5846,5.004567235294117,24.647058823529413
2025-11-01,2025,11,石油石化,-0.01206062251101736,0.24428213528567808,-0.0004918468221323878,45.1547,2.0858,276548472.6045,3.712080975,24.9
2025-12-01,2025,12,石油石化,-0.024592845810925246,0.15542806716134555,-0.0010359870186799258,45.1547,2.0303,293293231.92279994,2.186499304347826,25.0
2022-01-01,2022,1,社会服务,-0.02292954438582162,0.3832710971353527,-0.0009435682253260555,59.2633,2.6097,28018021.5859,3.9852137791996936,28.105263157894736
2022-02-01,2022,2,社会服务,-0.013927039910422545,0.3329598553319912,-0.0006695245804315788,65.06755,2.5387,28611714.931,4.445494164089582,28.125
